Size,Threads,Time_Mean,Time_Std,Time_Min,Time_Max,Runs
200,1,0.027165,0.000194,0.026941,0.027283,3
200,2,0.014351,0.000211,0.014110,0.014499,3
200,4,0.008501,0.000045,0.008464,0.008551,3
200,8,0.006149,0.000105,0.006067,0.006267,3
200,10,0.006299,0.000878,0.005666,0.007301,3
400,1,0.215640,0.000629,0.215051,0.216302,3
400,2,0.110103,0.000217,0.109860,0.110276,3
400,4,0.060167,0.001111,0.058945,0.061117,3
400,8,0.043781,0.000491,0.043244,0.044207,3
400,10,0.038731,0.000413,0.038392,0.039191,3
800,1,1.707953,0.004036,1.704700,1.712470,3
800,2,0.870873,0.007830,0.863039,0.878699,3
800,4,0.481042,0.007006,0.475009,0.488726,3
800,8,0.339788,0.000902,0.338769,0.340485,3
800,10,0.299853,0.000979,0.298798,0.300732,3
1200,1,5.734380,0.009891,5.723200,5.741990,3
1200,2,2.907387,0.007181,2.902570,2.915640,3
1200,4,1.658940,0.024094,1.635330,1.683490,3
1200,8,1.179483,0.011603,1.168030,1.191230,3
1200,10,1.050577,0.012022,1.036830,1.059120,3
1600,1,13.567433,0.023412,13.552300,13.594400,3
1600,2,7.035107,0.112028,6.909930,7.125950,3
1600,4,4.198790,0.067540,4.122480,4.250880,3
1600,8,2.977657,0.015949,2.959250,2.987390,3
1600,10,2.669447,0.091025,2.574880,2.756460,3
2000,1,26.550967,0.118019,26.451800,26.681500,3
2000,2,14.271167,0.269966,13.973600,14.500400,3
2000,4,8.519240,0.156090,8.339490,8.620590,3
2000,8,5.972990,0.057346,5.906890,6.009450,3
2000,10,5.438750,0.105963,5.317500,5.513590,3
