Size,Processes,Time_Mean,Time_Std,Time_Min,Time_Max,Runs
200,1,0.080575,0.000156,0.080482,0.080755,3
200,2,0.041461,0.000899,0.040833,0.042490,3
200,4,0.020284,0.000129,0.020164,0.020421,3
200,8,0.010082,0.000036,0.010057,0.010123,3
400,1,0.640954,0.000853,0.640266,0.641908,3
400,2,0.320575,0.000533,0.320254,0.321190,3
400,4,0.160937,0.000472,0.160594,0.161476,3
400,8,0.080556,0.000031,0.080529,0.080590,3
800,1,4.745193,0.007402,4.736950,4.751270,3
800,2,2.492970,0.003198,2.489300,2.495160,3
800,4,1.298300,0.008072,1.291500,1.307220,3
800,8,0.656703,0.001437,0.655119,0.657924,3
1200,1,15.488667,0.046217,15.435300,15.515500,3
1200,2,7.815520,0.110919,7.687520,7.883390,3
1200,4,3.993230,0.051211,3.941580,4.043990,3
1200,8,2.072697,0.005831,2.069300,2.079430,3
1600,1,36.885933,0.108357,36.789700,37.003300,3
1600,2,18.487333,0.027736,18.457100,18.511600,3
1600,4,9.321693,0.158848,9.218790,9.504640,3
1600,8,4.792563,0.002171,4.790490,4.794820,3
2000,1,71.703767,0.279179,71.405800,71.959300,3
2000,2,35.968833,0.163315,35.850200,36.155100,3
2000,4,18.391833,0.085331,18.303900,18.474300,3
2000,8,9.360237,0.014185,9.350640,9.376530,3
